config_index,config_id,bfs_max_depth,bfs_max_relations_per_node,bfs_beam_width,bridge_max_bridge_nodes,seed_max_parents,chain_max_path_length,bfs_max_nodes,num_samples,num_correct,num_wrong,num_errors,accuracy,elapsed_sec,accuracy_EXOGENOUS_EFFECT,accuracy_INPARA_EFFECT,details_dir
6,6bf51a4612,4,3,5,3,6,6,50,212,144,68,0,0.6792452830188679,8737.239136457443,0.7075471698113207,0.6509433962264151,E:\PHD\01\grid_search_cdcr\006_6bf51a4612
11,b7ed3e356c,6,5,5,3,6,4,50,212,143,69,0,0.6745283018867925,8102.979824066162,0.7169811320754716,0.6320754716981132,E:\PHD\01\grid_search_cdcr\011_b7ed3e356c
12,c2005b78e3,6,5,5,3,6,6,50,212,142,70,0,0.6698113207547169,8358.613923311234,0.6981132075471698,0.6415094339622641,E:\PHD\01\grid_search_cdcr\012_c2005b78e3
2,42ec4d21c0,2,3,5,3,6,6,50,212,140,72,0,0.660377358490566,,0.7075471698113207,0.6132075471698113,E:\PHD\01\grid_search_cdcr\002_42ec4d21c0
7,efa083d098,4,5,5,3,6,4,50,212,140,72,0,0.660377358490566,9079.801674127579,0.7075471698113207,0.6132075471698113,E:\PHD\01\grid_search_cdcr\007_efa083d098
10,c1d4d7c2a5,6,3,5,3,6,6,50,212,139,73,0,0.6556603773584906,7409.858192205429,0.6792452830188679,0.6320754716981132,E:\PHD\01\grid_search_cdcr\010_c1d4d7c2a5
8,e4e24ccef1,4,5,5,3,6,6,50,212,138,74,0,0.6509433962264151,8437.074989557266,0.6886792452830188,0.6132075471698113,E:\PHD\01\grid_search_cdcr\008_e4e24ccef1
1,c686a016ab,2,3,5,3,6,4,50,212,136,76,0,0.6415094339622641,,0.6792452830188679,0.6037735849056604,E:\PHD\01\grid_search_cdcr\001_c686a016ab
4,0f3991559b,2,5,5,3,6,6,50,212,134,78,0,0.6320754716981132,5014.167831659317,0.6981132075471698,0.5660377358490566,E:\PHD\01\grid_search_cdcr\004_0f3991559b
9,efd72e7d65,6,3,5,3,6,4,50,212,134,78,0,0.6320754716981132,7032.885268449783,0.6792452830188679,0.5849056603773585,E:\PHD\01\grid_search_cdcr\009_efd72e7d65
5,5d6b757314,4,3,5,3,6,4,50,212,133,79,0,0.6273584905660378,9037.140094995499,0.6698113207547169,0.5849056603773585,E:\PHD\01\grid_search_cdcr\005_5d6b757314
3,191607cdd6,2,5,5,3,6,4,50,212,132,80,0,0.6226415094339622,,0.6698113207547169,0.5754716981132075,E:\PHD\01\grid_search_cdcr\003_191607cdd6
