id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
ddxplus-1,ddxplus,ddxplus,"If the patient feels like the patient are detached from the patient's own body or the patient's surroundings, how will this affect the less probability of Panic attack?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-2,ddxplus,ddxplus,"If the patient feels that the patient's eyes produce excessive tears, how will this affect the more probability of Cluster headache?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-3,ddxplus,ddxplus,"If the patient has not recently had a viral infection, how will this affect the more probability of Myocarditis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-4,ddxplus,ddxplus,"If the patient has recently thrown up blood or something resembling coffee beans, how will this affect the more probability of GERD?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-6,ddxplus,ddxplus,"If the patient answers YES to ""In the last month, have you been in contact with anyone infected with the Ebola virus"", how will this affect the more probability of Ebola?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-8,ddxplus,ddxplus,"If the patient does not have pain that is increased with movement, how will this affect the more probability of Spontaneous rib fracture?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-5,ddxplus,ddxplus,"If the patient is not infected with the human immunodeficiency virus (HIV), how will this affect the less probability of Possible NSTEMI / STEMI?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-7,ddxplus,ddxplus,"If the patient has a deviated nasal septum, how will this affect the more probability of Chronic rhinosinusitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-9,ddxplus,ddxplus,"If the patient has not recently had a loss of appetite or do the patient get full more quickly then usually, how will this affect the less probability of Pulmonary neoplasm?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-10,ddxplus,ddxplus,"If the patient answers YES to ""Did your cheeks suddenly turn red"", how will this affect the more probability of Scombroid food poisoning?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-11,ddxplus,ddxplus,"If the patient has recently thrown up blood or something resembling coffee beans, how will this affect the less probability of Boerhaave?",,less,B,True,less,B,B,B,llama3.1:8b,
